x0000	y0000	x0001	y0001
0	166	0	111	
1	165	1	111	
2	166	2	111	
3	165	3	111	
4	165	4	111	
5	165	5	87	
6	165	6	87	
7	166	7	88	
8	165	8	87	
9	165	9	87	
10	165	10	87	
11	166	11	87	
12	165	12	87	
13	165	13	87	
14	165	14	87	
15	165	15	87	
16	165	16	87	
17	164	17	87	
18	165	18	87	
19	165	19	87	
20	165	20	87	
21	165	21	87	
22	166	22	88	
23	166	23	87	
24	165	24	87	
25	165	25	87	
26	165	26	87	
27	165	27	87	
28	165	28	87	
29	165	29	87	
30	166	30	87	
31	165	31	87	
32	165	32	87	
33	165	33	87	
34	165	34	88	
35	165	35	87	
36	165	36	87	
37	165	37	87	
38	165	38	87	
39	165	39	87	
40	165	40	87	
41	165	41	87	
42	165	42	87	
43	165	43	87	
44	165	44	87	
45	165	45	87	
46	165	46	87	
47	165	47	87	
48	165	48	87	
49	165	49	88	
50	165	50	87	
51	165	51	87	
52	165	52	87	
53	166	53	87	
54	166	54	87	
55	165	55	87	
56	165	56	87	
57	165	57	87	
58	165	58	87	
59	165	59	87	
60	165	60	87	
61	165	61	88	
62	165	62	87	
63	165	63	87	
64	166	64	87	
65	165	65	87	
66	164	66	87	
67	165	67	87	
68	165	68	87	
69	165	69	87	
70	165	70	87	
71	165	71	87	
72	165	72	87	
73	165	73	87	
74	166	74	87	
75	165	75	87	
76	165	76	87	
77	165	77	87	
78	164	78	87	
79	165	79	87	
80	165	80	87	
81	165	81	87	
82	165	82	87	
83	165	83	87	
84	166	84	87	
85	165	85	87	
86	165	86	87	
87	165	87	87	
88	166	88	88	
89	164	89	87	
90	165	90	87	
91	165	91	87	
92	165	92	87	
93	165	93	87	
94	165	94	88	
95	165	95	88	
96	165	96	87	
97	165	97	87	
98	165	98	87	
99	165	99	87	
100	165	100	87	
101	165	101	87	
102	165	102	87	
103	166	103	87	
104	165	104	87	
105	165	105	87	
106	165	106	87	
107	165	107	87	
108	166	108	87	
109	165	109	87	
110	165	110	87	
111	165	111	87	
112	164	112	87	
113	165	113	87	
114	165	114	87	
115	166	115	87	
116	166	116	87	
117	165	117	87	
118	165	118	87	
119	164	119	87	
120	165	120	87	
121	165	121	87	
122	165	122	87	
123	165	123	87	
124	165	124	87	
125	165	125	87	
126	166	126	87	
127	166	127	87	
128	165	128	87	
129	164	129	87	
130	165	130	88	
131	166	131	87	
132	166	132	87	
133	165	133	88	
134	165	134	87	
135	165	135	87	
136	165	136	87	
137	165	137	87	
138	165	138	87	
139	165	139	87	
140	165	140	87	
141	165	141	87	
142	165	142	88	
143	165	143	87	
144	165	144	87	
145	165	145	87	
146	165	146	87	
147	165	147	88	
148	166	148	87	
149	166	149	87	
150	165	150	87	
151	165	151	87	
152	165	152	87	
153	165	153	87	
154	165	154	88	
155	165	155	87	
156	165	156	87	
157	166	157	87	
158	165	158	87	
159	166	159	87	
160	166	160	87	
161	165	161	87	
162	165	162	87	
163	165	163	88	
164	164	164	87	
165	165	165	87	
166	165	166	87	
167	164	167	87	
168	165	168	87	
169	166	169	88	
170	165	170	87	
171	165	171	87	
172	165	172	88	
173	165	173	87	
174	165	174	87	
175	165	175	87	
176	164	176	87	
177	166	177	87	
178	165	178	88	
179	165	179	87	
180	165	180	87	
181	165	181	87	
182	165	182	87	
183	165	183	87	
184	165	184	87	
185	165	185	87	
186	165	186	87	
187	165	187	88	
188	166	188	87	
189	165	189	87	
190	165	190	87	
191	166	191	87	
192	165	192	87	
193	165	193	88	
194	165	194	87	
195	165	195	87	
196	165	196	87	
197	165	197	87	
198	165	198	87	
199	166	199	87	
200	165	200	87	
201	165	201	87	
202	165	202	87	
203	166	203	87	
204	165	204	88	
205	165	205	111	
206	165	206	111	
207	165	207	111	
208	164	208	110	
209	165	209	111	
210	165	210	111	
211	165	211	111	
212	166	212	111	
213	165	213	111	
214	165	214	111	
215	165	215	111	
216	165	216	111	
217	165	217	111	
218	165	218	111	
219	165	219	110	
220	165	220	110	
221	165	221	111	
222	165	222	111	
223	165	223	111	
224	165	224	111	
225	164	225	111	
226	165	226	111	
227	165	227	111	
228	165	228	111	
229	165	229	111	
230	165	230	111	
231	165	231	111	
232	165	232	111	
233	165	233	111	
234	166	234	111	
235	164	235	111	
236	165	236	111	
